sms_id,SMS_texte,SMS_profondeur_arbre_max,SMS_profondeur_arbre_moy,SMS_distance_dependance_max,SMS_distance_dependance_moy,SMS_distance_dependance_var,SMS_nb_dependances_moy_phrase,SMS_nb_dependances_var_phrase,SMS_nb_phrases,SMS_nb_tokens,Transcodage_1_texte,Transcodage_1_profondeur_arbre_max,Transcodage_1_profondeur_arbre_moy,Transcodage_1_distance_dependance_max,Transcodage_1_distance_dependance_moy,Transcodage_1_distance_dependance_var,Transcodage_1_nb_dependances_moy_phrase,Transcodage_1_nb_dependances_var_phrase,Transcodage_1_nb_phrases,Transcodage_1_nb_tokens,Transcodage_2_texte,Transcodage_2_profondeur_arbre_max,Transcodage_2_profondeur_arbre_moy,Transcodage_2_distance_dependance_max,Transcodage_2_distance_dependance_moy,Transcodage_2_distance_dependance_var,Transcodage_2_nb_dependances_moy_phrase,Transcodage_2_nb_dependances_var_phrase,Transcodage_2_nb_phrases,Transcodage_2_nb_tokens,divergence_score
313,Ok,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,OK,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,O.K.,3.0,3.0,3.0,2.0,0.6666666666666666,3.0,0.0,1.0,4.0,7.0
314,A ouai ! Ya quoi dessus ?,2.0,2.0,3.0,1.8,0.56,2.5,0.25,2.0,7.0,A ouais ! Y a quoi dessus ?,2.0,2.0,3.0,1.5,0.5833333333333334,3.0,1.0,2.0,8.0,A ouais ! Il y a quoi dessus ?,2.0,2.0,3.0,1.5714285714285714,0.5306122448979592,3.5,2.25,2.0,9.0,0.30000000000000004
315,Oui je sais... moi aussi je vous aime bcp mais on pourra tjs se revoir quand je rentrerai et vous pourrez venir à l'appart quand vous voudrez !,8.0,5.5,22.0,2.7096774193548385,13.883454734651405,15.5,110.25,2.0,33.0,Oui je sais... moi aussi je vous aime beaucoup mais on pourra toujours se revoir quand je rentrerai et vous pourrez venir à l'appartement quand vous voudrez !,7.0,5.0,22.0,2.870967741935484,14.75754422476587,15.5,110.25,2.0,33.0,Oui je sais... moi aussi je vous aime beaucoup mais on pourra toujours se revoir quand je rentrerai et vous pourrez venir à l'appartement quand vous voudrez !,7.0,5.0,22.0,2.870967741935484,14.75754422476587,15.5,110.25,2.0,33.0,1.1612903225806455
316,Lol,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Lol,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,lol,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
317,Coucou je voulais juste te dire que ton coup de fil m'a vraiment fait très plaisir =D tu me manques beaucoup mon pti Sophie. Gros bisous et bonne journée <3,5.0,4.0,25.0,3.4242424242424243,21.57759412304867,16.5,110.25,2.0,35.0,Coucou je voulais juste te dire que ton coup de fil m'a vraiment fait très plaisir =D tu me manques beaucoup mon petit Sophie. Gros bisous et bonne journée <3,5.0,4.0,25.0,3.4242424242424243,21.57759412304867,16.5,110.25,2.0,35.0,Coucou je voulais juste te dire que ton coup de fil m'a vraiment fait très plaisir =D tu me manques beaucoup mon petit Sophie. Gros bisous et bonne journée <3,5.0,4.0,25.0,3.4242424242424243,21.57759412304867,16.5,110.25,2.0,35.0,0.0
318,Il me fait rire tout simplment,3.0,3.0,3.0,1.8,0.56,5.0,0.0,1.0,6.0,Il me fait rire tout simplement,3.0,3.0,3.0,1.8,0.56,5.0,0.0,1.0,6.0,Il me fait rire tout simplement,3.0,3.0,3.0,1.8,0.56,5.0,0.0,1.0,6.0,0.0
319,Coucou c'est tjs ok pr ce soir ? Pck Julie ne vient pas donc je préféré te prévenir. Bisous,4.0,2.6666666666666665,7.0,2.526315789473684,2.670360110803324,6.333333333333333,20.22222222222222,3.0,22.0,Coucou c'est toujours OK pour ce soir ? Parce que Julie ne vient pas donc je préférais te prévenir. Bisous,4.0,2.6666666666666665,7.0,2.55,2.6475,6.666666666666667,22.88888888888889,3.0,23.0,Coucou c'est toujours O.K. pour ce soir ? Parce que Julie ne vient pas donc je préférais te prévenir. Bisous,4.0,2.5,7.0,2.3181818181818183,2.4896694214876036,5.5,18.25,4.0,26.0,1.2318181818181815
320,Tu croyais quoi ?,2.0,2.0,2.0,1.3333333333333333,0.2222222222222222,3.0,0.0,1.0,4.0,Tu croyais quoi ?,2.0,2.0,2.0,1.3333333333333333,0.2222222222222222,3.0,0.0,1.0,4.0,,,,,,,,,,,
321,^^ tu va pas pouvoir parler comme d'hab je suppose ?,6.0,6.0,10.0,2.4615384615384617,5.633136094674556,13.0,0.0,1.0,14.0,^^ tu vas pas pouvoir parler comme d'habitude je suppose ?,6.0,6.0,10.0,2.4615384615384617,5.633136094674556,13.0,0.0,1.0,14.0,^^ tu vas pas pouvoir parler comme d'habitude je suppose ?,6.0,6.0,10.0,2.4615384615384617,5.633136094674556,13.0,0.0,1.0,14.0,0.0
322,Sinon je passe vite fait à l'appart pour récupérer et je te rejoins des que tu es â quai,6.0,6.0,8.0,2.65,4.327499999999999,20.0,0.0,1.0,21.0,Sinon je passe vite fait à l'appart pour récupérer et je te rejoins dès que tu es à quai,6.0,6.0,8.0,2.75,4.1875,20.0,0.0,1.0,21.0,Sinon je passe vite fait à l'appartement pour récupérer et je te rejoins dès que tu es à quai,6.0,6.0,8.0,2.75,4.1875,20.0,0.0,1.0,21.0,0.10000000000000009
323,Ouai ok :),3.0,3.0,2.0,1.3333333333333333,0.2222222222222222,3.0,0.0,1.0,4.0,Ouais O.K. :),3.0,2.5,3.0,1.6,0.64,2.5,2.25,2.0,7.0,Ouais O.K. :),3.0,2.5,3.0,1.6,0.64,2.5,2.25,2.0,7.0,2.2666666666666666
324,Alors sa va ? Tu tient le cout ? <3,3.0,2.3333333333333335,3.0,1.5,0.5,2.6666666666666665,1.5555555555555554,3.0,11.0,Alors ça va ? Tu tiens le coup ? <3,3.0,2.3333333333333335,3.0,1.5,0.5,2.6666666666666665,1.5555555555555554,3.0,11.0,Alors ça va ? Tu tiens le coup ? <3,3.0,2.3333333333333335,3.0,1.5,0.5,2.6666666666666665,1.5555555555555554,3.0,11.0,0.0
325,Vous buvez un verre où?,3.0,3.0,4.0,2.2,1.3599999999999999,5.0,0.0,1.0,6.0,Vous buvez un verre où ?,3.0,3.0,4.0,2.2,1.3599999999999999,5.0,0.0,1.0,6.0,Vous buvez un verre où ?,3.0,3.0,4.0,2.2,1.3599999999999999,5.0,0.0,1.0,6.0,0.0
326,Je t'aime tre fort <3,3.0,3.0,3.0,1.8571428571428572,0.6938775510204082,7.0,0.0,1.0,8.0,Je t'aime très fort <3,3.0,3.0,3.0,1.8571428571428572,0.6938775510204082,7.0,0.0,1.0,8.0,Je t'aime très fort <3,3.0,3.0,3.0,1.8571428571428572,0.6938775510204082,7.0,0.0,1.0,8.0,0.0
327,"Putain on se fait trop chier ya PERSONNE quoi! XD
Et ok pr le bar ^^",4.0,4.0,9.0,2.3125,4.58984375,8.0,1.0,2.0,18.0,"Putain on se fait trop chier y a PERSONNE quoi! XD
Et OK pour le bar ^^",6.0,5.0,5.0,1.7647058823529411,1.1211072664359862,8.5,2.25,2.0,19.0,"Putain on se fait trop chier il y a PERSONNE quoi ! XD
Et O.K. pour le bar ^^",5.0,4.0,11.0,2.2,5.0600000000000005,6.666666666666667,9.555555555555555,3.0,23.0,9.547794117647058
