corpus,feature,modele_1,modele_2,pearson_r,p_value,n
Transcodage_1,profondeur_arbre_max,sequoia,stanza,0.8969,0.0,1001
Transcodage_1,profondeur_arbre_max,rhapsodie,zenodo-spoken,0.8943,0.0,1001
Transcodage_1,profondeur_arbre_max,rhapsodie,stanza,0.8445,4.038867034411016e-273,1001
Transcodage_1,profondeur_arbre_max,zenodo-spoken,stanza,0.8636,1.9646050846621434e-299,1001
Transcodage_1,profondeur_arbre_moy,gsd,fsmb,0.8627,5.365895209642649e-298,1001
Transcodage_1,profondeur_arbre_moy,gsd,sequoia,0.9136,0.0,1001
Transcodage_1,profondeur_arbre_moy,gsd,rhapsodie,0.8542,4.9970305446164685e-286,1001
Transcodage_1,profondeur_arbre_moy,gsd,zenodo-spoken,0.8797,0.0,1001
Transcodage_1,profondeur_arbre_moy,gsd,stanza,0.8476,3.864409122175653e-277,1001
Transcodage_1,profondeur_arbre_moy,fsmb,sequoia,0.8698,1.0414340154296675e-308,1001
Transcodage_1,profondeur_arbre_moy,fsmb,rhapsodie,0.802,9.004871770877891e-226,1001
Transcodage_1,profondeur_arbre_moy,fsmb,zenodo-spoken,0.8483,3.733817879943212e-278,1001
Transcodage_1,profondeur_arbre_moy,fsmb,stanza,0.8298,2.3831206085028914e-255,1001
Transcodage_1,profondeur_arbre_moy,sequoia,rhapsodie,0.8577,7.665078784898433e-291,1001
Transcodage_1,profondeur_arbre_moy,sequoia,zenodo-spoken,0.8811,0.0,1001
Transcodage_1,profondeur_arbre_moy,sequoia,stanza,0.8471,1.5465077552171573e-276,1001
Transcodage_1,profondeur_arbre_moy,rhapsodie,zenodo-spoken,0.892,0.0,1001
Transcodage_1,profondeur_arbre_moy,rhapsodie,stanza,0.7907,4.076943136983612e-215,1001
Transcodage_1,profondeur_arbre_moy,zenodo-spoken,stanza,0.8225,4.228013703522491e-247,1001
Transcodage_1,distance_dependance_max,gsd,fsmb,0.9438,0.0,1001
Transcodage_1,distance_dependance_max,gsd,sequoia,0.9441,0.0,1001
Transcodage_1,distance_dependance_max,gsd,rhapsodie,0.9429,0.0,1001
Transcodage_1,distance_dependance_max,gsd,zenodo-spoken,0.9499,0.0,1001
Transcodage_1,distance_dependance_max,gsd,stanza,0.9165,0.0,1001
Transcodage_1,distance_dependance_max,fsmb,sequoia,0.9619,0.0,1001
Transcodage_1,distance_dependance_max,fsmb,rhapsodie,0.925,0.0,1001
Transcodage_1,distance_dependance_max,fsmb,zenodo-spoken,0.9469,0.0,1001
Transcodage_1,distance_dependance_max,fsmb,stanza,0.9275,0.0,1001
Transcodage_1,distance_dependance_max,sequoia,rhapsodie,0.935,0.0,1001
Transcodage_1,distance_dependance_max,sequoia,zenodo-spoken,0.9543,0.0,1001
Transcodage_1,distance_dependance_max,sequoia,stanza,0.9309,0.0,1001
Transcodage_1,distance_dependance_max,rhapsodie,zenodo-spoken,0.9434,0.0,1001
Transcodage_1,distance_dependance_max,rhapsodie,stanza,0.9103,0.0,1001
Transcodage_1,distance_dependance_max,zenodo-spoken,stanza,0.9317,0.0,1001
Transcodage_1,distance_dependance_moy,gsd,fsmb,0.823,1.4605717068205948e-247,1001
Transcodage_1,distance_dependance_moy,gsd,sequoia,0.9134,0.0,1001
Transcodage_1,distance_dependance_moy,gsd,rhapsodie,0.8565,3.1464667418104866e-289,1001
Transcodage_1,distance_dependance_moy,gsd,zenodo-spoken,0.8893,0.0,1001
Transcodage_1,distance_dependance_moy,gsd,stanza,0.8487,1.3341871760516241e-278,1001
Transcodage_1,distance_dependance_moy,fsmb,sequoia,0.8694,3.3439423387309024e-308,1001
Transcodage_1,distance_dependance_moy,fsmb,rhapsodie,0.7779,8.494589970788508e-204,1001
Transcodage_1,distance_dependance_moy,fsmb,zenodo-spoken,0.8094,3.343988305797073e-233,1001
Transcodage_1,distance_dependance_moy,fsmb,stanza,0.7889,1.969147292910844e-213,1001
Transcodage_1,distance_dependance_moy,sequoia,rhapsodie,0.8573,2.4376919498869052e-290,1001
Transcodage_1,distance_dependance_moy,sequoia,zenodo-spoken,0.8834,0.0,1001
Transcodage_1,distance_dependance_moy,sequoia,stanza,0.8435,6.770605271377988e-272,1001
Transcodage_1,distance_dependance_moy,rhapsodie,zenodo-spoken,0.916,0.0,1001
Transcodage_1,distance_dependance_moy,rhapsodie,stanza,0.8289,2.8119953985751765e-254,1001
Transcodage_1,distance_dependance_moy,zenodo-spoken,stanza,0.8567,1.6143201346624164e-289,1001
Transcodage_1,distance_dependance_var,gsd,fsmb,0.8212,1.2154840381043015e-245,1001
Transcodage_1,distance_dependance_var,gsd,sequoia,0.8857,0.0,1001
Transcodage_1,distance_dependance_var,gsd,rhapsodie,0.8628,3.8077764650413803e-298,1001
Transcodage_1,distance_dependance_var,gsd,zenodo-spoken,0.8805,0.0,1001
Transcodage_1,distance_dependance_var,gsd,stanza,0.8205,7.270787346703435e-245,1001
Transcodage_1,distance_dependance_var,fsmb,sequoia,0.8672,1.0550487910496508e-304,1001
Transcodage_1,distance_dependance_var,fsmb,rhapsodie,0.8131,5.51477226690594e-237,1001
Transcodage_1,distance_dependance_var,fsmb,zenodo-spoken,0.8295,5.48262790568305e-255,1001
